code;land;2014;2013;2000-2012;1990-1999;1980-1989;1972-1979;1961-1971;1952-1960;1948-1951
IRN;Iran;40;94;1901;3627;8487;9550;19502;15699;21910
AFG;Afghanistan;-;2;17;23;57;132;516;1106;2303
IND;India;41;51;1367;1726;1539;3497;13110;5380;2176
TUR;Turkey;59;71;1220;1084;2088;3118;14073;6871;34547
LBN;Lebanon;13;4;52;87;179;564;2208;846;235
SYR;Syria;16;4;46;1646;995;842;2138;1870;2678
CHN;China;5;16;109;255;78;43;96;217;504
IRQ;Iraq;3;2;229;1235;111;939;2129;2989;123371
YMD;Yemen;4;56;156;671;17;51;1066;1170;48315
UZB;Uzbekistan;86;98;9047;15968;;;;;
GEO;Georgia;66;44;3898;7604;;;;;
DZA;Algeria;782;258;2506;1443;1830;2137;12857;3433;3810
ETH;Ethiopia;211;1355;34190;39621;16965;306;98;59;10
ZAF;South Africa;157;198;2431;2916;3575;5604;3783;774;666
LBY;Libya;60;15;48;89;66;219;2466;2079;30972
EGY;Egypt,Sudan;73;29;213;201;352;535;2963;17521;16024
MAR;Morocco;729;297;2894;2877;3809;7780;130507;95945;28263
TUN;Tunisia;874;302;2509;1364;1942;2148;11566;23569;13293
AUT;Austria;15;28;238;320;356;595;1021;610;2632
ITA;Italy;260;120;669;599;510;713;940;414;1305
SWE;Nordic countries;38;48;441;1061;1178;903;886;131;85
BGR;Bulgaria;24;16;712;3673;180;118;794;1680;37260
BEL;Belgium;191;196;1289;894;788;847;1112;394;291
RUS;Urss;;;;;29754;137134;29376;13743;8163
UKR;Ukraine;1927;692;51496;114389;;;;;
RUS;Russian Federation;1205;993;52243;91746;;;;;
DEU;Germany;89;76;1336;2158;1759;2080;3175;1386;8210
NLD;Netherlands;49;50;520;926;1239;1170;1470;646;1077
HUN;Hungary;131;163;1277;2150;1005;1100;2601;9819;14324
YUG;Yugoslavia;13;21;84;1918;140;126;322;320;7661
GRC;Greece;19;7;71;121;147;326;514;676;2131
GBR;United Kingdom;447;359;5150;4856;7098;6171;6461;1448;1907
ESP;Spain;56;39;289;241;321;327;406;169;80
POL;Poland;88;63;1171;2755;2807;6218;14706;39618;106414
CZE;Czechoslovakia(former);24;21;225;518;462;888;2754;783;18788
FRA;France;4133;2103;17037;10449;7538;5399;8050;1662;3050
ROU;Romania;39;51;1362;5721;14607;18418;86184;32462;117950
CHE;Switzerland;68;60;843;906;706;634;886;253;131
AUS;Australia,New Zealand;95;120;803;1021;959;1275;833;120;119
URY;Uruguay;49;70;1931;724;2014;2199;1844;425;66
NIC;Central America;128;85;1074;574;8;104;129;43;17
ARG;Argentina;276;265;12266;8879;10582;13158;11701;2888;904
USA;United States;2132;1941;21443;15503;18904;20963;18671;1553;1711
BRA;Brazil;257;167;2772;1940;1763;1763;2601;763;304
VEN;Venezuela;55;51;791;318;180;245;297;;
MEX;Mexico;65;80;982;881;993;861;736;168;48
PRY;Paraguay;2;2;85;42;62;73;210;42;
CHL;Chile;43;48;830;520;1040;1180;1790;401;48
COL;Colombia;66;71;1222;545;475;552;415;;
CDN;Canada;216;185;2346;1721;1867;2178;2169;276;236
NOTK;Not known;-;-;3;238;469;381;2265;3307;20014
