Notknown;AmericaAndOceania;Europe;Africa;Asia;Total;Period
5222;678;27872;230;1181;35183;1919-1923
2652;2241;66917;621;9182;81613;1924-1931
3989;4589;171173;1212;16272;197235;1932-1938
4544;108;62968;1072;13116;81808;1939-1945
5828;138;48451;906;1144;56467;1946-14/05/1948
11865;478;76554;8192;4739;101828;15/05/1948-31/12/1948
5702;1422;121963;39215;71652;239954;1949
3687;1954;81195;26162;57565;170563;1950
3141;1286;47074;20382;103396;175279;1951
275;950;6232;10286;6867;24610;1952
382;930;2147;5102;3014;11575;1953
165;1091;1369;12509;3357;18491;1954
61;1155;2065;32815;1432;37528;1955
101;1067;6739;45284;3139;56330;1956
1435;1410;39812;25747;4230;72634;1957
241;1320;13695;4113;7921;27290;1958
137;1147;14731;4429;3544;23988;1959
204;1158;16169;5379;1782;24692;1960
194;1969;23375;18048;4149;47735;1961
350;2187;11825;41816;5355;61533;1962
143;6497;14213;38672;4964;64489;1963
327;4188;28124;17340;5057;55036;1964
382;3096;13879;8535;5223;31115;1965
229;2132;7435;3024;3137;15957;1966
148;1771;4295;6268;1987;14469;1967
161;2275;6029;7567;4671;20703;1968
330;9601;15236;5926;7018;38111;1969
222;11405;14434;3785;6904;36750;1970
25;12885;20888;2354;5778;41930;1971
20;10814;39145;2766;3143;55888;1972
8;9522;40492;2839;2025;54886;1973
21;6439;23126;1216;1177;31979;1974
6;4989;13417;689;927;20028;1975
11;5774;12137;697;1135;19754;1976
40;6201;12660;1620;908;21429;1977
121;6305;16549;1683;1736;26394;1978
367;6024;22404;1340;7087;37222;1979
77;4350;11792;1007;3202;20428;1980
62;4243;5909;1170;1215;12599;1981
46;5003;6168;1555;951;13723;1982
56;6758;6154;3094;844;16906;1983
35;4876;5485;8885;700;19981;1984
14;3739;3964;2318;607;10642;1985
31;3634;3675;982;1183;9505;1986
16;3812;6044;1205;1888;12965;1987
19;3969;6012;1334;1700;13034;1988
91;4147;16766;1861;1185;24050;1989
139;4315;189650;4472;940;199516;1990
62;3023;152142;20251;622;176100;1991
123;3006;68962;4075;891;77057;1992
48;3283;70315;1431;1728;76805;1993
51;3593;72553;1928;1719;79844;1994
25;4330;68987;1772;1247;76361;1995
68;4587;52475;1998;11791;70919;1996
18;4248;49903;2283;9769;66221;1997
33;3316;42155;3514;7712;56730;1998
34;3580;62147;2681;8324;76766;1999
3;3359;46955;2509;7377;60202;2000
;3604;30794;3573;5500;43473;2001
4;8737;18021;2949;3859;33570;2002
3;4430;12626;3342;2872;23273;2003
;3428;11149;3878;2444;20899;2004
;4065;11279;3766;2071;21183;2005
6;3813;9872;3801;1777;19269;2006
19;3894;8849;3795;1575;18132;2007
;3361;7109;1892;1338;13701;2008
;3932;8566;561;1516;14575;2009
;4155;9128;1937;1415;16635;2010
;3567;9286;2934;1104;16893;2011
;3417;9361;2643;1137;16560;2012
;3488;10848;1562;1029;16929;2013
;3807;19093;394;817;24112;2014
